site,imp,edu,hDensity,income
BALASUCMD1,14.552631578947368,0.7309124767225326,929.9369272784576,61146
BARBJERMD1,13.945945945945946,0.6378048780487805,375.5825847733399,107517
BEALTOMMD1,7.142857142857143,0.7256241168158266,645.8408830163318,109022
BLOCDAVMD1,18.46875,0.7566992769034453,3463.1067418868347,71958
BRIGKIMMD1,44.6,0.536726272352132,529.4183039975441,83274
BROWANNDC1,71.77777777777777,0.9320765178818963,13255.040895770459,64446
BROWANNMD1,8.266666666666667,0.8627187079407806,2402.8556320142643,86964
BUISNORVA1,3.657142857142857,0.853496115427303,1172.7387234184735,183547
BURDROBVA1,43.432432432432435,0.859127934834691,1181.4808065506547,187222
CAMPGLOMD1,9.514285714285714,0.6744186046511628,1078.7251971100231,86815
CAMPROSMD1,8.675675675675675,0.7163168584969533,2817.047144797258,73367
CLARCOLDC1,63.08108108108108,0.9697774825639323,13026.80579624645,106227
COLSKATMD1,13.210526315789474,0.9084136722173533,1083.488121266464,114271
EGANMARMD1,30.57894736842105,0.9513567174056916,1782.3024150682045,173646
FARYSIMMD1,33.666666666666664,0.8664804469273742,2645.1994881491246,128882
FISHFERVA1,18.1875,0.9472322814278323,1389.6675169624175,226645
GECACARVA1,22.264705882352942,0.8718912666281088,3151.459653964958,88533
GERYERIMD1,32.054054054054056,0.9266895761741123,2779.684012084211,146116
JACOMERMD1,33.69444444444444,0.9083969465648855,1580.77912323527,123643
KESTSABDC1,45.94117647058823,0.9697774825639323,13026.80579624645,106227
KEYESUSMD1,2.108108108108108,0.8721963605586119,157.79089929566922,172627
LANDCELVA1,17.944444444444443,0.7903000697836706,1458.5538784225453,151932
LEONTESDC1,57.27777777777778,0.9658719027582983,4793.484627888098,84758
MANNJANDC1,10.342105263157896,0.9511574074074074,1294.3166355960973,193233
MCDOELIVA1,32.972972972972975,0.6018913971934107,3259.5139331516525,92292
MISSEDDC1,60.81578947368421,0.9037406483790523,6061.1500595249345,110192
MOLIKARMD1,36.13513513513514,0.575571315996848,540.9817492393568,85139
MORRCHRVA1,2.1315789473684212,0.904431216931217,122.61182811783488,237656
MOSMCARMD1,11.954545454545455,0.6357899022801303,406.3376429968239,95029
NEWBCARVA1,0,0.9230529595015576,452.4258594287753,191471
OBRICHRMD1,26.64864864864865,0.5372180451127819,2307.249269141145,74977
OLONMARDC1,31.35135135135135,0.9521061742642816,3257.845250720853,161450
ONTAHOUDC1,56.71052631578947,0.9036511156186613,11500.487085648088,76563
PADORAMVA1,14.722222222222221,0.6309572301425662,1362.858804552248,103071
PERRCHRMD1,0,0.8670982482863671,266.7257864023762,133846
PHARAIMMD1,2.189189189189189,0.7829052969502408,234.8638574228506,133333
PIROELADC1,44.31428571428572,0.9205665024630542,2548.0411933326254,121250
REITBOBMD1,19.945945945945947,0.7691819911223843,4437.998639884557,67908
ROHRSALMD1,2.0285714285714285,0.5682087781731909,64.99824415851184,125304
SALOSHEMD1,17.07894736842105,0.7572202166064982,1210.3147022051046,1e5
SCHLROBMD1,0,0.6936852026390198,75.44821546072039,112813
SILLSCOMD1,37.45945945945946,0.6174929463925837,3375.688874462093,82986
STANJEFMD1,3.5945945945945947,0.9663827879874496,1816.6108287384034,240568
STEWBETMD1,15.378378378378379,0.712770137524558,1062.3851644214074,97955
STUECHRVA2,19.35135135135135,0.9360086767895879,1579.551170111162,163466
STURCARMD1,21.05263157894737,0.6968491893545427,1775.4486917100598,49804
TATEJUAMD1,19.027027027027028,0.789379117588341,494.2020697781124,97481
VERSBETMD1,4.315789473684211,0.6237014236244709,87.35243391875494,93438
VONGJENMD1,20.08108108108108,0.9374295377677565,1254.3113978048123,184500
WILLTERMD1,29.083333333333332,0.7572202166064982,1210.3147022051046,1e5
WOLFAMYDC1,77.13888888888889,0.9140958709065021,12364.25252239994,89868
WOLFKARDC1,44.6,0.9658719027582983,4793.484627888098,84758
ZAMBTRAMD1,19.61111111111111,0.9437049362174155,1517.7568191606347,173092
