site,date_time,cat
MANNJANDC1,2016-06-10T03:53:00Z,Janet
MANNJANDC1,2016-06-11T02:18:00Z,Janet
MANNJANDC1,2016-06-11T04:04:00Z,Janet
MANNJANDC1,2016-06-13T11:18:00Z,Clem
MANNJANDC1,2016-06-13T12:15:00Z,Clem
MANNJANDC1,2016-06-14T08:59:00Z,Clem
MCDOELIVA1,2016-07-01T22:24:00Z,Earl
MCDOELIVA1,2016-07-02T01:22:00Z,Earl
MCDOELIVA1,2016-07-02T21:37:00Z,Ellie
MCDOELIVA1,2016-07-05T00:01:00Z,Earl
MCDOELIVA1,2016-07-05T00:25:00Z,Ellie
MCDOELIVA1,2016-07-06T02:53:00Z,Earl
MCDOELIVA1,2016-07-15T21:19:00Z,Ellie
MCDOELIVA1,2016-07-16T08:23:00Z,Ellie
MCDOELIVA1,2016-07-18T20:37:00Z,Ellie
MCDOELIVA1,2016-07-20T22:50:00Z,Ellie
MCDOELIVA1,2016-08-01T22:58:00Z,Earl
MCDOELIVA1,2016-08-02T23:42:00Z,Earl
MCDOELIVA1,2016-08-03T19:26:00Z,Ellie
MCDOELIVA1,2016-08-03T19:28:00Z,Ellie
MCDOELIVA1,2016-08-04T20:10:00Z,Ellie
MCDOELIVA1,2016-08-04T21:19:00Z,Ellie
MCDOELIVA1,2016-08-05T04:54:00Z,Ellie
MCDOELIVA1,2016-08-07T08:52:00Z,Ellie
MOLIKARMD1,2016-07-11T03:11:00Z,Kathryn
MOLIKARMD1,2016-08-22T01:33:00Z,Karmichael
MOLIKARMD1,2016-08-23T00:25:00Z,Kathryn
MOLIKARMD1,2016-08-23T21:47:00Z,Karmichael
MOLIKARMD1,2016-08-25T04:50:00Z,Karmichael
MOLIKARMD1,2016-08-26T01:43:00Z,Kathryn
MOLIKARMD1,2016-08-27T02:56:00Z,Kermit
MOLIKARMD1,2016-08-28T03:59:00Z,Kermit
MOSMCARMD1,2016-06-28T15:33:00Z,Christine
MOSMCARMD1,2016-07-19T16:08:00Z,Christine
MOSMCARMD1,2016-07-20T16:10:00Z,Christine
MOSMCARMD1,2016-07-25T02:56:00Z,Click
MOSMCARMD1,2016-07-25T02:57:00Z,Click
MOSMCARMD1,2016-07-26T03:29:00Z,Christine
OBRICHRMD1,2016-06-30T03:45:00Z,Clive
OBRICHRMD1,2016-07-06T07:50:00Z,Clive
OBRICHRMD1,2016-08-23T11:02:00Z,Clive
OBRICHRMD1,2016-08-26T06:18:00Z,Clive
OBRICHRMD1,2016-08-27T10:14:00Z,Clive
OBRICHRMD1,2016-08-28T05:12:00Z,Clive
OBRICHRMD1,2016-08-29T16:07:00Z,Clive
OBRICHRMD1,2016-08-29T16:09:00Z,Clive
ONTAHOUDC1,2016-06-15T03:06:00Z,Holden
PIROELADC1,2016-06-10T23:52:00Z,Ermine
PIROELADC1,2016-06-12T23:45:00Z,Ermine
PIROELADC1,2016-06-13T05:30:00Z,Ermine
PIROELADC1,2016-08-01T10:33:00Z,Ermine
PIROELADC1,2016-08-26T01:33:00Z,Emily
PIROELADC1,2016-08-28T16:03:00Z,Ermine
PIROELADC1,2016-08-30T17:42:00Z,Ermine
ROHRSALMD1,2016-07-02T08:32:00Z,Charlie
ROHRSALMD1,2016-07-02T08:50:00Z,Salvatore
ROHRSALMD1,2016-07-02T17:13:00Z,Salvatore
ROHRSALMD1,2016-07-03T23:21:00Z,Charlie
ROHRSALMD1,2016-07-30T04:34:00Z,Charlie
ROHRSALMD1,2016-07-30T16:31:00Z,Charlie
ROHRSALMD1,2016-07-30T16:31:00Z,Sally
ROHRSALMD1,2016-08-02T07:37:00Z,Sally
ROHRSALMD1,2016-08-02T19:12:00Z,Sally
ROHRSALMD1,2016-08-03T07:26:00Z,Sally
ROHRSALMD1,2016-08-03T07:30:00Z,Sally
ROHRSALMD1,2016-08-03T08:17:00Z,Charlie
ROHRSALMD1,2016-08-03T08:45:00Z,Charlie
ROHRSALMD1,2016-08-03T09:45:00Z,Salvatore
ROHRSALMD1,2016-08-04T08:48:00Z,Salman
ROHRSALMD1,2016-08-04T09:17:00Z,Salvatore
ROHRSALMD1,2016-08-04T21:34:00Z,Charlie
ROHRSALMD1,2016-08-04T23:03:00Z,Charlie
ROHRSALMD1,2016-08-05T07:07:00Z,Charlie
ROHRSALMD1,2016-08-19T18:42:00Z,Charlie
ROHRSALMD1,2016-08-20T05:35:00Z,Charlie
ROHRSALMD1,2016-08-21T07:07:00Z,Charlie
SCHLROBMD1,2016-07-21T01:03:00Z,Rex
SCHLROBMD1,2016-07-21T02:36:00Z,Rex
SCHLROBMD1,2016-08-13T16:35:00Z,Rex
SILLSCOMD1,2016-06-09T10:26:00Z,Sean
SILLSCOMD1,2016-06-10T03:05:00Z,Sammy
SILLSCOMD1,2016-06-10T03:13:00Z,Sammy
SILLSCOMD1,2016-06-10T05:01:00Z,Sammy
SILLSCOMD1,2016-06-10T05:32:00Z,Sammy
SILLSCOMD1,2016-06-10T05:40:00Z,Sammy
SILLSCOMD1,2016-06-11T00:03:00Z,Sammy
SILLSCOMD1,2016-06-11T05:02:00Z,Soledad
SILLSCOMD1,2016-06-11T23:07:00Z,Sammy
SILLSCOMD1,2016-06-12T06:03:00Z,Sammy
SILLSCOMD1,2016-06-12T22:44:00Z,Sammy
SILLSCOMD1,2016-06-13T20:41:00Z,Sammy
SILLSCOMD1,2016-06-14T01:06:00Z,Sammy
SILLSCOMD1,2016-06-14T03:04:00Z,Sammy
SILLSCOMD1,2016-06-15T23:42:00Z,Sparky
SILLSCOMD1,2016-06-16T05:20:00Z,Sparky
SILLSCOMD1,2016-06-16T07:33:00Z,Sammy
SILLSCOMD1,2016-07-06T22:11:00Z,Sammy
SILLSCOMD1,2016-07-08T01:27:00Z,Sean
SILLSCOMD1,2016-07-08T05:15:00Z,Sammy
SILLSCOMD1,2016-07-08T05:31:00Z,Sammy
SILLSCOMD1,2016-07-08T08:28:00Z,Sean
SILLSCOMD1,2016-07-09T01:48:00Z,Sean
SILLSCOMD1,2016-07-12T03:15:00Z,Sammy
SILLSCOMD1,2016-07-12T07:32:00Z,Sean
SILLSCOMD1,2016-08-13T01:02:00Z,Sean
STANJEFMD1,2016-06-17T17:29:00Z,Sarah
STANJEFMD1,2016-06-23T14:35:00Z,Sarah
STANJEFMD1,2016-06-23T16:22:00Z,Sarah
STANJEFMD1,2016-08-02T05:17:00Z,Sarah
STANJEFMD1,2016-08-20T19:07:00Z,Sarah
STANJEFMD1,2016-08-22T16:03:00Z,Sarah
STANJEFMD1,2016-08-22T16:12:00Z,Sarah
STANJEFMD1,2016-08-23T16:22:00Z,Sarah
STURCARMD1,2016-06-11T04:52:00Z,Crab
STURCARMD1,2016-06-11T20:08:00Z,Crab
